Random data, Lexis triangles, HMD style
1971 11 1960 528 380 908
1971 11 1959 63 545 608
1971 12 1959 542 12 554
1971 12 1958 82 479 561
1971 13 1958 485 663 1148
1971 13 1957 625 415 1040
1971 14 1957 496 410 906
1971 14 1956 224 246 470
1971 15 1956 722 667 1389
1971 15 1955 317 736 1053
1971 16 1955 290 807 1097
1971 16 1954 566 150 716
1971 17 1954 435 748 1183
1971 17 1953 932 207 1139
1971 18 1953 457 922 1379
1971 18 1952 214 118 332
1971 19 1952 771 14 785
1971 19 1951 122 802 924
1971 20 1951 520 887 1407
1971 20 1950 589 859 1448
1971 21 1950 720 314 1034
1971 21 1949 759 92 851
1971 22 1949 564 369 933
1971 22 1948 228 98 326
1971 23 1948 643 6 649
1971 23 1947 866 774 1640
1971 24 1947 762 455 1217
1971 24 1946 172 460 632
1971 25 1946 228 460 688
1971 25 1945 621 302 923
1971 26 1945 314 460 774
1971 26 1944 364 541 905
1971 27 1944 619 734 1353
1971 27 1943 10 159 169
1971 28 1943 677 237 914
1971 28 1942 91 977 1068
1971 29 1942 874 676 1550
1971 29 1941 616 762 1378
1971 30 1941 994 822 1816
1971 30 1940 60 959 1019
1971 31 1940 33 755 788
1971 31 1939 639 524 1163
1971 32 1939 711 291 1002
1971 32 1938 628 248 876
1971 33 1938 585 371 956
1971 33 1937 576 982 1558
1971 34 1937 941 501 1442
1971 34 1936 860 30 890
1971 35 1936 301 406 707
1971 35 1935 82 49 131
1971 36 1935 335 603 938
1971 36 1934 16 263 279
1971 37 1934 730 142 872
1971 37 1933 120 517 637
1971 38 1933 26 413 439
1971 38 1932 93 623 716
1971 39 1932 382 174 556
1971 39 1931 729 202 931
1971 40 1931 474 761 1235
1971 40 1930 832 449 1281
1971 41 1930 651 655 1306
1971 41 1929 248 984 1232
1971 42 1929 951 896 1847
1971 42 1928 431 10 441
1971 43 1928 983 685 1668
1971 43 1927 542 844 1386
1971 44 1927 511 973 1484
1971 44 1926 5 232 237
1971 45 1926 552 76 628
1971 45 1925 174 598 772
1971 46 1925 211 135 346
1971 46 1924 15 934 949
1971 47 1924 530 1 531
1971 47 1923 227 241 468
1971 48 1923 467 678 1145
1971 48 1922 11 783 794
1971 49 1922 25 9 34
1971 49 1921 191 377 568
1971 50 1921 773 340 1113
1971 50 1920 724 980 1704
1971 51 1920 142 130 272
1971 51 1919 591 279 870
1971 52 1919 352 227 579
1971 52 1918 756 328 1084
1971 53 1918 43 169 212
1971 53 1917 964 650 1614
1971 54 1917 262 304 566
1971 54 1916 800 481 1281
1971 55 1916 926 506 1432
1971 55 1915 573 425 998
1971 56 1915 224 967 1191
1971 56 1914 327 432 759
1971 57 1914 431 768 1199
1971 57 1913 584 757 1341
1971 58 1913 64 487 551
1971 58 1912 462 364 826
1971 59 1912 737 383 1120
1971 59 1911 377 176 553
1971 60 1911 979 181 1160
1971 60 1910 76 418 494
1971 61 1910 599 931 1530
1971 61 1909 679 100 779
1971 62 1909 649 566 1215
1971 62 1908 381 733 1114
1971 63 1908 944 45 989
1971 63 1907 992 421 1413
1971 64 1907 113 944 1057
1971 64 1906 12 901 913
1971 65 1906 527 145 672
1971 65 1905 139 326 465
1971 66 1905 47 363 410
1971 66 1904 404 822 1226
1971 67 1904 10 254 264
1971 67 1903 692 557 1249
1971 68 1903 582 663 1245
1971 68 1902 943 677 1620
1971 69 1902 687 423 1110
1971 69 1901 76 272 348
1971 70 1901 824 642 1466
1971 70 1900 189 558 747
1971 71 1900 398 916 1314
1971 71 1899 783 276 1059
1971 72 1899 176 507 683
1971 72 1898 987 313 1300
1971 73 1898 366 544 910
1971 73 1897 439 315 754
1971 74 1897 608 322 930
1971 74 1896 474 696 1170
1971 75 1896 808 222 1030
1971 75 1895 899 656 1555
1971 76 1895 967 37 1004
1971 76 1894 186 381 567
1971 77 1894 694 517 1211
1971 77 1893 214 514 728
1971 78 1893 923 583 1506
1971 78 1892 114 534 648
1971 79 1892 693 750 1443
1971 79 1891 889 618 1507
1971 80 1891 151 683 834
1971 80 1890 371 741 1112
1971 81 1890 441 910 1351
1971 81 1889 47 780 827
1971 82 1889 311 172 483
1971 82 1888 165 250 415
1971 83 1888 875 939 1814
1971 83 1887 422 375 797
1971 84 1887 638 683 1321
1971 84 1886 285 752 1037
1971 85 1886 839 275 1114
1971 85 1885 783 253 1036
1971 86 1885 40 586 626
1971 86 1884 777 142 919
1971 87 1884 857 560 1417
1971 87 1883 130 683 813
1971 88 1883 398 869 1267
1971 88 1882 648 715 1363
1971 89 1882 441 565 1006
1971 89 1881 279 903 1182
1971 90 1881 683 684 1367
1971 90 1880 304 889 1193
1971 91 1880 788 531 1319
1971 91 1879 745 587 1332
1971 92 1879 591 398 989
1971 92 1878 184 597 781
1971 93 1878 848 514 1362
1971 93 1877 929 601 1530
1971 94 1877 108 841 949
1971 94 1876 63 746 809
1971 95 1876 293 461 754
1971 95 1875 773 383 1156
1971 96 1875 93 328 421
1971 96 1874 953 829 1782
1971 97 1874 884 302 1186
1971 97 1873 341 15 356
1971 98 1873 691 97 788
1971 98 1872 529 533 1062
1971 99 1872 226 938 1164
1971 99 1871 75 676 751
1971 100 1871 304 403 707
1971 100 1870 995 51 1046
1971 101 1870 305 452 757
1971 101 1869 162 973 1135
1971 102 1869 94 820 914
1971 102 1868 60 731 791
1971 103 1868 755 429 1184
1971 103 1867 676 583 1259
1971 104 1867 753 322 1075
1971 104 1866 372 980 1352
1971 105 1866 493 142 635
1971 105 1865 913 365 1278
1971 106 1865 891 960 1851
1971 106 1864 185 705 890
1971 107 1864 858 526 1384
1971 107 1863 195 995 1190
1971 108 1863 810 140 950
1971 108 1862 362 198 560
1971 109 1862 339 399 738
1971 109 1861 790 497 1287
1971 110 . 782 364 1146
1972 0 1972 393 472 865
1972 0 1971 8 664 672
1972 1 1971 281 493 774
1972 1 1970 497 924 1421
1972 2 1970 568 86 654
1972 2 1969 786 144 930
1972 3 1969 903 557 1460
1972 3 1968 82 963 1045
1972 4 1968 79 567 646
1972 4 1967 171 651 822
1972 5 1967 116 742 858
1972 5 1966 710 57 767
1972 6 1966 316 600 916
1972 6 1965 443 258 701
1972 7 1965 885 48 933
1972 7 1964 550 146 696
1972 8 1964 636 776 1412
1972 8 1963 750 824 1574
1972 9 1963 600 606 1206
1972 9 1962 493 258 751
1972 10 1962 967 787 1754
1972 10 1961 48 973 1021
1972 11 1961 45 267 312
1972 11 1960 276 774 1050
1972 12 1960 995 656 1651
1972 12 1959 826 684 1510
1972 13 1959 583 975 1558
1972 13 1958 331 610 941
1972 14 1958 152 859 1011
1972 14 1957 650 680 1330
1972 15 1957 490 630 1120
1972 15 1956 137 182 319
1972 16 1956 761 934 1695
1972 16 1955 371 719 1090
1972 17 1955 556 937 1493
1972 17 1954 947 224 1171
1972 18 1954 760 996 1756
1972 18 1953 963 907 1870
1972 19 1953 806 972 1778
1972 19 1952 477 44 521
1972 20 1952 162 354 516
1972 20 1951 767 753 1520
1972 21 1951 835 538 1373
1972 21 1950 824 94 918
1972 22 1950 479 621 1100
1972 22 1949 146 939 1085
1972 23 1949 428 594 1022
1972 23 1948 133 990 1123
1972 24 1948 503 621 1124
1972 24 1947 477 955 1432
1972 25 1947 470 380 850
1972 25 1946 479 865 1344
1972 26 1946 277 478 755
1972 26 1945 559 135 694
1972 27 1945 610 274 884
1972 27 1944 233 260 493
1972 28 1944 941 120 1061
1972 28 1943 649 492 1141
1972 29 1943 228 203 431
1972 29 1942 823 802 1625
1972 30 1942 75 719 794
1972 30 1941 96 918 1014
1972 31 1941 451 56 507
1972 31 1940 473 504 977
1972 32 1940 710 874 1584
1972 32 1939 348 78 426
1972 33 1939 766 143 909
1972 33 1938 391 76 467
1972 34 1938 950 554 1504
1972 34 1937 37 471 508
1972 35 1937 998 285 1283
1972 35 1936 476 480 956
1972 36 1936 293 504 797
1972 36 1935 249 443 692
1972 37 1935 830 427 1257
1972 37 1934 276 92 368
1972 38 1934 600 542 1142
1972 38 1933 596 658 1254
1972 39 1933 730 115 845
1972 39 1932 889 423 1312
1972 40 1932 938 67 1005
1972 40 1931 206 804 1010
1972 41 1931 242 466 708
1972 41 1930 361 225 586
1972 42 1930 379 72 451
1972 42 1929 15 939 954
1972 43 1929 177 432 609
1972 43 1928 40 760 800
1972 44 1928 569 827 1396
1972 44 1927 182 368 550
1972 45 1927 921 369 1290
1972 45 1926 223 228 451
1972 46 1926 941 17 958
1972 46 1925 93 643 736
1972 47 1925 452 704 1156
1972 47 1924 104 923 1027
1972 48 1924 993 249 1242
1972 48 1923 21 782 803
1972 49 1923 387 598 985
1972 49 1922 170 821 991
1972 50 1922 509 964 1473
1972 50 1921 122 493 615
1972 51 1921 813 210 1023
1972 51 1920 681 942 1623
1972 52 1920 601 371 972
1972 52 1919 424 89 513
1972 53 1919 174 92 266
1972 53 1918 373 335 708
1972 54 1918 501 405 906
1972 54 1917 536 42 578
1972 55 1917 470 113 583
1972 55 1916 302 325 627
1972 56 1916 468 858 1326
1972 56 1915 179 265 444
1972 57 1915 6 1000 1006
1972 57 1914 594 893 1487
1972 58 1914 392 469 861
1972 58 1913 915 80 995
1972 59 1913 376 524 900
1972 59 1912 874 391 1265
1972 60 1912 713 989 1702
1972 60 1911 849 429 1278
1972 61 1911 792 618 1410
1972 61 1910 210 700 910
1972 62 1910 219 598 817
1972 62 1909 77 213 290
1972 63 1909 512 525 1037
1972 63 1908 197 730 927
1972 64 1908 524 64 588
1972 64 1907 678 570 1248
1972 65 1907 552 235 787
1972 65 1906 365 656 1021
1972 66 1906 181 735 916
1972 66 1905 818 775 1593
1972 67 1905 647 533 1180
1972 67 1904 11 511 522
1972 68 1904 999 118 1117
1972 68 1903 2 877 879
1972 69 1903 446 847 1293
1972 69 1902 810 264 1074
1972 70 1902 140 375 515
1972 70 1901 637 272 909
1972 71 1901 310 797 1107
1972 71 1900 578 258 836
1972 72 1900 953 12 965
1972 72 1899 762 171 933
1972 73 1899 305 763 1068
1972 73 1898 940 32 972
1972 74 1898 237 143 380
1972 74 1897 853 28 881
1972 75 1897 186 55 241
1972 75 1896 139 393 532
1972 76 1896 776 989 1765
1972 76 1895 71 678 749
1972 77 1895 435 188 623
1972 77 1894 238 88 326
1972 78 1894 144 918 1062
1972 78 1893 160 602 762
1972 79 1893 27 700 727
1972 79 1892 398 315 713
1972 80 1892 270 584 854
1972 80 1891 989 442 1431
1972 81 1891 769 219 988
1972 81 1890 679 283 962
1972 82 1890 988 451 1439
1972 82 1889 107 575 682
1972 83 1889 120 120 240
1972 83 1888 436 374 810
1972 84 1888 788 482 1270
1972 84 1887 478 62 540
1972 85 1887 530 927 1457
1972 85 1886 690 976 1666
1972 86 1886 605 790 1395
1972 86 1885 69 458 527
1972 87 1885 720 741 1461
1972 87 1884 784 693 1477
1972 88 1884 612 312 924
1972 88 1883 39 129 168
1972 89 1883 918 851 1769
1972 89 1882 817 257 1074
1972 90 1882 244 403 647
1972 90 1881 443 886 1329
1972 91 1881 989 141 1130
1972 91 1880 378 820 1198
1972 92 1880 149 484 633
1972 92 1879 646 716 1362
1972 93 1879 741 934 1675
1972 93 1878 385 601 986
1972 94 1878 831 629 1460
1972 94 1877 520 863 1383
1972 95 1877 404 979 1383
1972 95 1876 664 752 1416
1972 96 1876 417 265 682
1972 96 1875 927 848 1775
1972 97 1875 666 435 1101
1972 97 1874 255 823 1078
1972 98 1874 180 633 813
1972 98 1873 18 460 478
1972 99 1873 698 980 1678
1972 99 1872 935 935 1870
1972 100 1872 597 58 655
1972 100 1871 193 562 755
1972 101 1871 364 770 1134
1972 101 1870 431 617 1048
1972 102 1870 945 158 1103
1972 102 1869 621 380 1001
1972 103 1869 699 308 1007
1972 103 1868 354 808 1162
1972 104 1868 846 94 940
1972 104 1867 577 195 772
1972 105 1867 214 423 637
1972 105 1866 701 250 951
1972 106 1866 906 283 1189
1972 106 1865 81 349 430
1972 107 1865 966 922 1888
1972 107 1864 324 805 1129
1972 108 1864 729 67 796
1972 108 1863 674 413 1087
1972 109 1863 811 683 1494
1972 109 1862 44 252 296
1972 110 . 931 98 1029
1973 0 1973 556 506 1062
1973 0 1972 868 717 1585
1973 1 1972 271 464 735
1973 1 1971 543 639 1182
1973 2 1971 271 490 761
1973 2 1970 655 243 898
1973 3 1970 365 431 796
1973 3 1969 430 311 741
1973 4 1969 2 353 355
1973 4 1968 2 323 325
1973 5 1968 661 48 709
1973 5 1967 150 45 195
1973 6 1967 454 903 1357
1973 6 1966 107 731 838
1973 7 1966 142 78 220
1973 7 1965 334 736 1070
1973 8 1965 695 925 1620
1973 8 1964 390 201 591
1973 9 1964 63 407 470
1973 9 1963 493 977 1470
1973 10 1963 540 684 1224
1973 10 1962 933 357 1290
1973 11 1962 237 345 582
1973 11 1961 554 245 799
1973 12 1961 527 392 919
1973 12 1960 449 321 770
1973 13 1960 62 777 839
1973 13 1959 391 875 1266
1973 14 1959 517 442 959
1973 14 1958 196 957 1153
1973 15 1958 450 638 1088
1973 15 1957 670 753 1423
1973 16 1957 885 317 1202
1973 16 1956 843 456 1299
1973 17 1956 189 444 633
1973 17 1955 603 100 703
1973 18 1955 263 758 1021
1973 18 1954 867 39 906
1973 19 1954 860 180 1040
1973 19 1953 60 820 880
1973 20 1953 330 470 800
1973 20 1952 4 700 704
1973 21 1952 341 318 659
1973 21 1951 136 633 769
1973 22 1951 357 412 769
1973 22 1950 500 483 983
1973 23 1950 221 444 665
1973 23 1949 177 733 910
1973 24 1949 563 775 1338
1973 24 1948 180 700 880
1973 25 1948 835 988 1823
1973 25 1947 717 155 872
1973 26 1947 946 629 1575
1973 26 1946 94 660 754
1973 27 1946 196 142 338
1973 27 1945 366 785 1151
1973 28 1945 693 407 1100
1973 28 1944 539 666 1205
1973 29 1944 322 538 860
1973 29 1943 267 751 1018
1973 30 1943 278 613 891
1973 30 1942 586 874 1460
1973 31 1942 763 711 1474
1973 31 1941 1 639 640
1973 32 1941 497 600 1097
1973 32 1940 684 887 1571
1973 33 1940 29 712 741
1973 33 1939 334 999 1333
1973 34 1939 322 496 818
1973 34 1938 721 167 888
1973 35 1938 406 869 1275
1973 35 1937 819 72 891
1973 36 1937 939 655 1594
1973 36 1936 736 696 1432
1973 37 1936 376 823 1199
1973 37 1935 444 569 1013
1973 38 1935 839 593 1432
1973 38 1934 551 454 1005
1973 39 1934 665 249 914
1973 39 1933 851 705 1556
1973 40 1933 949 812 1761
1973 40 1932 246 423 669
1973 41 1932 600 508 1108
1973 41 1931 963 838 1801
1973 42 1931 739 745 1484
1973 42 1930 129 310 439
1973 43 1930 212 754 966
1973 43 1929 395 606 1001
1973 44 1929 57 920 977
1973 44 1928 239 298 537
1973 45 1928 954 969 1923
1973 45 1927 268 527 795
1973 46 1927 638 959 1597
1973 46 1926 712 379 1091
1973 47 1926 20 953 973
1973 47 1925 617 627 1244
1973 48 1925 37 293 330
1973 48 1924 338 271 609
1973 49 1924 23 933 956
1973 49 1923 925 247 1172
1973 50 1923 386 372 758
1973 50 1922 298 389 687
1973 51 1922 492 231 723
1973 51 1921 249 748 997
1973 52 1921 594 577 1171
1973 52 1920 982 634 1616
1973 53 1920 108 459 567
1973 53 1919 524 964 1488
1973 54 1919 356 271 627
1973 54 1918 146 330 476
1973 55 1918 997 642 1639
1973 55 1917 739 999 1738
1973 56 1917 218 610 828
1973 56 1916 0 235 235
1973 57 1916 275 804 1079
1973 57 1915 69 221 290
1973 58 1915 740 594 1334
1973 58 1914 865 109 974
1973 59 1914 674 568 1242
1973 59 1913 281 879 1160
1973 60 1913 165 567 732
1973 60 1912 578 624 1202
1973 61 1912 915 424 1339
1973 61 1911 924 649 1573
1973 62 1911 222 268 490
1973 62 1910 645 927 1572
1973 63 1910 369 490 859
1973 63 1909 727 930 1657
1973 64 1909 691 514 1205
1973 64 1908 234 95 329
1973 65 1908 849 259 1108
1973 65 1907 579 620 1199
1973 66 1907 834 594 1428
1973 66 1906 686 90 776
1973 67 1906 492 491 983
1973 67 1905 145 318 463
1973 68 1905 584 362 946
1973 68 1904 373 753 1126
1973 69 1904 433 820 1253
1973 69 1903 951 764 1715
1973 70 1903 978 878 1856
1973 70 1902 714 806 1520
1973 71 1902 2 175 177
1973 71 1901 255 561 816
1973 72 1901 510 113 623
1973 72 1900 390 157 547
1973 73 1900 982 977 1959
1973 73 1899 568 272 840
1973 74 1899 947 917 1864
1973 74 1898 227 694 921
1973 75 1898 730 936 1666
1973 75 1897 635 401 1036
1973 76 1897 383 722 1105
1973 76 1896 995 114 1109
1973 77 1896 243 461 704
1973 77 1895 853 67 920
1973 78 1895 883 862 1745
1973 78 1894 133 424 557
1973 79 1894 175 881 1056
1973 79 1893 828 45 873
1973 80 1893 119 253 372
1973 80 1892 682 562 1244
1973 81 1892 674 319 993
1973 81 1891 276 24 300
1973 82 1891 769 351 1120
1973 82 1890 293 186 479
1973 83 1890 807 896 1703
1973 83 1889 3 622 625
1973 84 1889 894 926 1820
1973 84 1888 590 913 1503
1973 85 1888 862 554 1416
1973 85 1887 19 244 263
1973 86 1887 769 828 1597
1973 86 1886 19 198 217
1973 87 1886 605 633 1238
1973 87 1885 134 777 911
1973 88 1885 324 410 734
1973 88 1884 56 726 782
1973 89 1884 475 578 1053
1973 89 1883 15 638 653
1973 90 1883 850 659 1509
1973 90 1882 355 741 1096
1973 91 1882 71 160 231
1973 91 1881 458 527 985
1973 92 1881 285 652 937
1973 92 1880 277 8 285
1973 93 1880 322 810 1132
1973 93 1879 607 267 874
1973 94 1879 606 988 1594
1973 94 1878 79 32 111
1973 95 1878 178 0 178
1973 95 1877 161 939 1100
1973 96 1877 896 461 1357
1973 96 1876 269 365 634
1973 97 1876 378 465 843
1973 97 1875 675 811 1486
1973 98 1875 313 597 910
1973 98 1874 250 636 886
1973 99 1874 717 27 744
1973 99 1873 506 378 884
1973 100 1873 843 129 972
1973 100 1872 554 249 803
1973 101 1872 33 465 498
1973 101 1871 47 461 508
1973 102 1871 564 822 1386
1973 102 1870 324 930 1254
1973 103 1870 510 731 1241
1973 103 1869 407 55 462
1973 104 1869 932 831 1763
1973 104 1868 821 916 1737
1973 105 1868 70 399 469
1973 105 1867 145 933 1078
1973 106 1867 858 373 1231
1973 106 1866 239 522 761
1973 107 1866 813 709 1522
1973 107 1865 262 100 362
1973 108 1865 302 521 823
1973 108 1864 849 599 1448
1973 109 1864 80 531 611
1973 109 1863 963 510 1473
1973 110 . 417 943 1360
1974 0 1974 786 429 1215
1974 0 1973 175 869 1044
1974 1 1973 195 25 220
1974 1 1972 153 48 201
1974 2 1972 757 435 1192
1974 2 1971 487 62 549
1974 3 1971 56 388 444
1974 3 1970 849 364 1213
1974 4 1970 344 719 1063
1974 4 1969 597 771 1368
1974 5 1969 220 700 920
1974 5 1968 421 13 434
1974 6 1968 741 341 1082
1974 6 1967 430 936 1366
1974 7 1967 153 148 301
1974 7 1966 374 746 1120
1974 8 1966 955 66 1021
1974 8 1965 701 712 1413
1974 9 1965 549 951 1500
1974 9 1964 226 472 698
1974 10 1964 757 412 1169
1974 10 1963 468 677 1145
1974 11 1963 835 720 1555
1974 11 1962 772 701 1473
1974 12 1962 800 361 1161
1974 12 1961 520 839 1359
1974 13 1961 884 160 1044
1974 13 1960 751 95 846
1974 14 1960 101 828 929
1974 14 1959 387 975 1362
1974 15 1959 738 305 1043
1974 15 1958 535 270 805
1974 16 1958 122 572 694
1974 16 1957 771 205 976
1974 17 1957 479 594 1073
1974 17 1956 877 80 957
1974 18 1956 550 643 1193
1974 18 1955 542 106 648
1974 19 1955 350 891 1241
1974 19 1954 368 470 838
1974 20 1954 639 352 991
1974 20 1953 34 347 381
1974 21 1953 744 165 909
1974 21 1952 491 9 500
1974 22 1952 480 495 975
1974 22 1951 769 195 964
1974 23 1951 14 300 314
1974 23 1950 306 483 789
1974 24 1950 132 720 852
1974 24 1949 77 183 260
1974 25 1949 608 768 1376
1974 25 1948 965 370 1335
1974 26 1948 372 527 899
1974 26 1947 711 29 740
1974 27 1947 216 482 698
1974 27 1946 521 935 1456
1974 28 1946 385 577 962
1974 28 1945 581 656 1237
1974 29 1945 783 689 1472
1974 29 1944 705 954 1659
1974 30 1944 659 277 936
1974 30 1943 394 671 1065
1974 31 1943 692 474 1166
1974 31 1942 218 149 367
1974 32 1942 130 297 427
1974 32 1941 730 267 997
1974 33 1941 415 720 1135
1974 33 1940 460 999 1459
1974 34 1940 161 105 266
1974 34 1939 862 119 981
1974 35 1939 953 328 1281
1974 35 1938 136 435 571
1974 36 1938 825 935 1760
1974 36 1937 924 178 1102
1974 37 1937 244 231 475
1974 37 1936 257 919 1176
1974 38 1936 176 111 287
1974 38 1935 839 806 1645
